2020-07-21 15:54:31 API died, spawning replacement...
2020-07-21 20:53:29 chartsDataCollector died, spawning replacement...
2020-07-21 20:54:32 chartsDataCollector died, spawning replacement...
2020-07-21 20:55:34 chartsDataCollector died, spawning replacement...
2020-07-21 20:56:36 chartsDataCollector died, spawning replacement...
2020-07-21 20:57:38 chartsDataCollector died, spawning replacement...
2020-07-21 20:58:41 chartsDataCollector died, spawning replacement...
2020-07-21 20:59:45 chartsDataCollector died, spawning replacement...
2020-07-21 22:21:55 Pool fork 2 died, spawning replacement worker...
2020-07-21 22:21:55 Pool fork 1 died, spawning replacement worker...
2020-07-22 08:18:17 Pool fork 2 died, spawning replacement worker...
